Directory,Statechart,NumStates,AvgDepth,MaxDepth,StandardEvosuiteCoverage,StandardSCTUnitCoverage,StandardSCTUnitStatus,SimplifiedEvosuiteCoverage,SimplifiedSCTUnitCoverage,SimplifiedSCTUnitStatus
from_other_repos,aufgage_3_pvr,14,1.0,1,NOT GENERATED,0.00,NOT GENERATED,NOT GENERATED,0.00,NOT GENERATED
from_other_repos,B,2,1.5,2,0.61,0.00,PASSED,0.92,1.00,PASSED
from_other_repos,bareMetalPolling,2,1.0,1,0.60,0.00,PASSED,0.96,1.00,PASSED
from_other_repos,base,3,1.0,1,0.64,0.00,PASSED,0.91,0.77,PASSED
from_other_repos,C,3,1.0,1,0.62,0.00,PASSED,0.90,0.77,PASSED
from_other_repos,C2,4,1.0,1,0.61,0.00,PASSED,0.90,0.77,FAILED
from_other_repos,coffeeMachine,7,1.0,1,0.54,0.00,PASSED,0.76,0.30,PASSED
from_other_repos,Configure,5,1.0,1,0.56,0.00,PASSED,0.86,0.60,FAILED
from_other_repos,D,7,1.8571428571428572,2,0.60,0.00,PASSED,0.91,0.88,FAILED
from_other_repos,E,3,1.6666666666666667,2,0.66,0.00,PASSED,0.80,0.81,PASSED
from_other_repos,heatingSys,3,1.0,1,0.57,0.00,PASSED,0.94,1.00,PASSED
from_other_repos,Lampada,3,1.0,1,0.97,0.90,FAILED,0.93,1.00,PASSED
from_other_repos,LineFollower,3,1.0,1,0.72,0.00,PASSED,0.80,0.46,PASSED
from_other_repos,motionDetection,8,2.25,3,0.60,0.00,NOT GENERATED,0.81,0.69,PASSED
from_other_repos,MqttClientStatechart,22,1.9545454545454546,3,0.60,0.00,PASSED,0.60,0.11,PASSED
from_other_repos,musicPlayer,39,3.2051282051282053,5,0.46,0.00,PASSED,0.64,0.32,PASSED
from_other_repos,onoff,24,2.125,3,0.54,0.00,ERRORS,0.76,0.58,PASSED
from_other_repos,OperatingMode,5,1.0,1,0.56,0.00,PASSED,0.81,0.52,PASSED
from_other_repos,Route,12,1.5,2,0.43,0.00,PASSED,0.68,0.41,PASSED
from_other_repos,Section,24,2.625,4,0.47,0.00,ERRORS,0.53,0.21,PASSED
from_other_repos,Signal,5,1.4,2,0.54,0.00,PASSED,0.86,0.33,FAILED
from_other_repos,SignalController,30,2.8333333333333335,4,0.46,0.00,PASSED,0.47,0.03,PASSED
from_other_repos,Statechart1,10,1.6,2,0.53,0.00,PASSED,0.85,0.78,PASSED
from_other_repos,Statechart12,12,2.5,4,0.58,0.00,ERRORS,0.77,0.54,PASSED
from_other_repos,Statechart13,16,2.5,4,0.55,0.00,PASSED,0.74,0.42,PASSED
from_other_repos,Statechart14,11,2.5454545454545454,4,0.57,0.00,ERRORS,0.76,0.51,PASSED
from_other_repos,Statechart2,45,2.1555555555555554,3,0.53,0.00,PASSED,0.54,0.02,PASSED
from_other_repos,Statechart3,3,1.0,1,0.62,0.00,PASSED,0.92,1.00,PASSED
from_other_repos,Statechart4,5,1.2,2,0.89,0.84,FAILED,0.84,0.84,PASSED
from_other_repos,Statechart5,5,1.0,1,0.63,0.00,NOT GENERATED,0.80,0.53,PASSED
from_other_repos,Statechart6,3,1.0,1,0.61,0.00,PASSED,0.92,1.00,PASSED
from_other_repos,Statechart7,8,1.0,1,0.57,0.00,PASSED,0.69,0.30,PASSED
from_other_repos,Switch,10,1.9,3,NOT GENERATED,0.00,NOT GENERATED,NOT GENERATED,0.00,NOT GENERATED
from_other_repos,System,2,1.5,2,0.78,0.33,ERRORS,NOT GENERATED,0.00,NOT GENERATED
from_other_repos,test_convert_entry_exit_actions,5,1.4,2,0.56,0.00,PASSED,0.77,0.50,PASSED
from_other_repos,test_convert_entry_exit_actions_expected,5,1.4,2,0.55,0.00,PASSED,0.78,0.60,PASSED
